nome_evento,edicao,abrangencia,tamanho,segmento,acesso_evento,mes_evento,data_inicio,data_fim,local,cidade,uf,promotor,telefone,site_feira
Feira do Livro da Unesp,8ª edição,Regional,de 5.000 a 10.000,Cultura e Educação,Aberto ao público,maio,maio de 2026,maio de 2026,"Rua Dr. Bento Teobaldo Ferraz, 271",São Paulo,SP,Fundação Editora da Unesp,11 3242-7171,http://feiradolivrodaunesp.com.br
Congresso Mineiro de Municípios 2026,41ª edição,Regional,de 1.000 a 5.000,Gestão Empresarial e Recursos Humanos,Aberto ao público,maio,maio de 2026,maio de 2026,Expominas - Belo Horizonte,Belo Horizonte,MG,Associação Mineira de Municípios (AMM),31 2125-2413,http://congresso.amm-mg.org.br
FORROZÃO 2026 (Forrozão de Sergipe),,Regional,selecione,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,Praça de Eventos da Orla da Atalaia,Aracaju,SE,Forrozão da Sergipe,,http://www.instagram.com/forrozao/
EXPAPI CAMPINA GRANDE - Exposição Paraibana de Animais e Produtos Industriais,57ª edição,Nacional,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque de Exposição Carlos Pessoa Filho,Campina Grande,PB,Exposição Paraibana de Animais e Produtos Industriais,,http://www.instagram.com/expapipb/
FQM - Festa do Queijo e do Mel de Angelina,29ª edição,Regional,de 5.000 a 10.000,Feiras Multisetoriais,Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,Centro Comunitário,Angelina,SC,Festa do Queijo e do Mel,48 99860-1384,http://www.instagram.com/festadoqueijoedomelangelinasc/
Festa Italiana di Jundiaí 2026,38ª edição,Regional,de 5.000 a 10.000,Feiras Multisetoriais,Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,Paróquia Sagrado Coração de Jesus,Jundiaí,SP,Paróquia Sagrado Coração de Jesus,11 4584-1406,http://www.festaitalianadejundiai.com.br
"EXPO FERNANDÓPOLIS - Exposição Agropecuária, Comercial e Industrial",23ª edição,Regional,selecione,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Centro de Exposições de Fernandópolis,Fernandópolis,SP,Associação Comercial e Industrial de Fernandópolis (ACIF),17 3465-3555,http://www.instagram.com/expofernandopolis_oficial/
EXPOLESTE 2026 - Mostra Empresarial do Leste Mineiro,22ª edição,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público,maio,maio de 2026,maio de 2026,Centro de Feiras e Eventos da Univale,Governador Valadares,MG,Associação Comercial e Empresarial de Governador Valadares (ACE/GV),33 3271-6330,http://www.instagram.com/expoleste_gv/
Salão do Artesanato - Raízes Brasileiras (São Paulo),21ª edição,Nacional,de 5.000 a 10.000,"Artesanato, Artes e Coleções",Aberto ao público,maio,maio de 2026,maio de 2026,Pavilhão da Bienal - Pavilhão Ciccillo Matarazzo,São Paulo,SP,Rome Feiras e Eventos,61 3345-0011,http://www.instagram.com/salaodoartesanatooficial/
Prêmio Líderes da Energia 2026,,Nacional,até 1.000,Energia,Especializado mediante convite,maio,maio de 2026,maio de 2026,Palácio Tangará,São Paulo,SP,Grupo Mídia,16 3913-9800,http://lideresdaenergia.grupomidia.com
LRF 2026 - Lavras Rodeo Festival,,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,ExpoLavras,Lavras,MG,Benassi Eventos,35 3013-0000,http://www.instagram.com/lavrasrodeo/
Festa da Polenta (Santa Tereza do Oeste),18ª edição,Regional,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,maio,maio de 2026,maio de 2026,Paróquia Santa Teresa D´avila,Santa Tereza do Oeste,PR,Prefeitura de Santa Tereza do Oeste,45 3124-1000,http://www.instagram.com/festadapolentasto/
EXPO BARBACENA 2026 - Exposição Agropecuária de Barbacena (Expô Barbacena),57ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque de Exposições Senador Bias Forte,Barbacena,MG,Empresa Municipal de Turismo de Barbacena (CENATUR),32 3339-2084,http://www.instagram.com/expobarbacena/
PECUÁRIA DE GOIÂNIA 2026 - Exposição Agropecuária de Goiás,79ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque Agropecuário Dr. Pedro Ludovico Teixeira - Parque Agropecuário de Goiânia,Goiânia,GO,Sociedade Goiana de Pecuária e Agricultura (SGPA),62 3269-6800,http://www.instagram.com/pecuariadegoiania/
